Module	Titre	Node URL	PDF URL	Date
Anesthésie	Item 133 : Anesthésie locale, locorégionale et générale	https://www.s-ecn.com/node/21358	https://www.s-ecn.com/sites/default/files/ITEM%20133%20-%20ANESTHESIE_V4_.pdf	2021-06-25
Anesthésie	Item 227 : Surveillance et complications des abords veineux	https://www.s-ecn.com/node/21361	https://www.s-ecn.com/sites/default/files/ITEM%20227%20-%20SURVEILLANCE%20ABORDS%20VEINEUX_V3.pdf	2020-03-31
Anesthésie R2C	ITEM-R2C 136 - ANESTHÉSIE	https://www.s-ecn.com/node/26130	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20136%20-%20ANESTH%C3%89SIE_V2.pdf	2023-09-22
Cancérologie	Item 287 : Epidémiologie, facteurs de risque, prévention et dépistage des cancers	https://www.s-ecn.com/node/21585	https://www.s-ecn.com/sites/default/files/ITEM%20287%20-%20EPIDEMIO-FDR-PREVENTION-DEPISTAGE_V2.pdf	2020-10-20
Cancérologie	Item 288 : Cancérogénèse	https://www.s-ecn.com/node/21586	https://www.s-ecn.com/sites/default/files/ITEM%20288%20%20-%20CANCEROGENESE_V2.pdf	2020-10-19
Cancérologie	Item 289 : Diagnostic des cancers	https://www.s-ecn.com/node/21587	https://www.s-ecn.com/sites/default/files/ITEM%20289%C2%A0-%20DIAGNOSTIC%20DES%20CANCERS.pdf	2017-10-20
Cancérologie	Item 290 : Anatomo-pathologie	https://www.s-ecn.com/node/21588	https://www.s-ecn.com/sites/default/files/ITEM%20290%20-%20ANATOMOPATHOLOGIE_V2.pdf	2020-10-26
Cancérologie	Item 291 : Traitement des cancers	https://www.s-ecn.com/node/21589	https://www.s-ecn.com/sites/default/files/ITEM%20291%20-%20TRAITEMENT%20CANCER_V2.pdf	2020-06-23
Cancérologie	Item 292 : Prise en charge et accompagnement d'un malade cancéreux	https://www.s-ecn.com/node/21590	https://www.s-ecn.com/sites/default/files/ITEM%20292%20-%20PRISE%20EN%20CHARGE%20CANCEREUX_V2.pdf	2020-10-26
Cancérologie R2C	ITEM-R2C 290 - ÉPIDÉMIOLOGIE - FDR - PRÉVENTION ET DÉPISTAGE DES CANCERS	https://www.s-ecn.com/node/26178	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20290%20-%20EPIDEMIOLOGIE%20-%20FDR%20-%20PREVENTION%20ET%20DEPISTAGE%20DES%20CANCERS_0.pdf	2025-07-24
